id,en,es,pt,pt_BR,fr,it,ca,de,ar,hi,zh_CN,ru,he,sv,da,
alternative,alternative,alternativa,alternativa,alternativa,alternatif,alternativo,alternativa,alternativ,بديل,विकल्प,替代,альтернатива,חלופה,alternativ,alternativ,
amount,amount,cantidad,quantia,quantia,montant,ammontare,quantitat,Betrag,مقدار - كمية,रकम,量,количество,כמות,belopp,beløb,
analysis,analysis,análisis,análise,análise,analyse,analisi,anàlisi,Analyse,تحليل,विश्लेषण,分析,анализ,ניתוח,analys,analyse,
anchor,anchor,anclaje,âncora,âncora,ancre,ancoraggio,ancoratge,Anker,مرساة,लंगर,锚,якорь,עוגן,ankare,anker,
angle,angle,ángulo,ângulo,ângulo,angle,angolo,angle,Winkel,زاوية,कोण,角度,угол,זווית,vinkel,vinkel,
animate,animate,animar,animar,animar,animer,animare,animar,animieren,حرِّك,चेतन,活跃,оживлять,להנפיש,animera,animere,
animation,animation,animación,animação,animação,animation,animazione,animació,Animation,تحريك - رسوم متحركة,एनीमेशन,动画,анимация,אנימציה,animering,animation,
announce,announce,anuncio,anunciar,anunciar,annoncer,annunciare,anunci,ankündigen,اعلن,की घोषणा,发布,анонсировать,להכריז,meddela,annoncere,
announcement,announcement,anuncio,anúncio,anúncio,annonce,annuncio,anunci,Ankündigung,إعلان,घोषणा,公告,объявление,הודעה,meddelande,bekendtgørelse,
anonymous,anonymous,anónimo,desconhecido,desconhecido,anonyme,anonimo,anònim,anonym,مجهول,गुमनाम,匿名,анонимный,בעילום שם,anonym,anonym,
antivirus,anti virus,antivirus,anti-vírus,anti-vírus,antivirus,antivirus,antivirus,Antivirus,مضاد للفيروسات,एंटी वायरस,防病毒,антивирус,אנטי וירוס,antivirus,antivirus,
antialiasing,anti-aliasing,antialianza,anti-aliasing,anti-aliasing,anticrénelage,anti-aliasing,antialianza,Anti-Aliasing,مانع تشويش,विरोधी aliasing,抗锯齿,сглаживание,החלקת עקומות,antialiasing,antialiasing,
appear,appear,aparecer,aparecer,aparecer,apparaître,apparire,aparèixer,erscheinen,يظهر,प्रकट,出现,появиться,להופיע,dyka upp,komme til syne,
append,append,añadir,inserir,inserir,ajouter,apporre,afegir,anfügen,ألحق,जोड़ना,附加,присоединять,לצרף,bifoga,Tilføj,
applet,applet,miniaplicación,miniaplicativo,miniaplicativo,applet,applet,miniaplicació,Minianwendung,بريمج,एपलेट,小程序,апплет,יישומון,applet,applet,
application,application,aplicación,aplicação,aplicação,application,applicazione,aplicació,Anwendung,تطبيق,आवेदन,应用,приложение,יישום,Ansökan,Ansøgning,
apply,apply,aplicar,aplicar,aplicar,appliquer,applicare,aplicar,anwenden,طبِّق,लागू करना,应用,применять,להגיש מועמדות,tillämpa,ansøge,
approval,approval,aprobación,aprovação,aprovação,approbation,approvazione,aprovació,Zustimmung,موافقة,अनुमोदन,赞同,утверждение,הסכמה,godkännande,godkendelse,
approve,approve,aprobar,aprovar,aprovar,approuver,approvare,aprovar,zustimmen,وافق,मंजूरी,批准,утвердить,לאשר,godkänna,godkende,
approximate,approximate,aproximado,aproximar,aproximar,approximatif,approssimativo,aproximat,ungefähr,تقريبي,अनुमानित,近似,приближенный,המשוער,ungefärlig,omtrentlig,
arbitrary,arbitrary,arbitrario,arbitrário,arbitrário,arbitraire,arbitrario,arbitrari,beliebig,تعسفي,मनमाना,随意,произвольный,שרירותי,godtycklig,vilkårlig,
archive,archive,archivo,arquivo,arquivo,archive,archivio,arxiu,Archiv,أرشيف,पुरालेख,档案,архив,ארכיון,arkiv,arkiv,
area,area,área,área,área,zone,area,àrea,Bereich,منطقة,क्षेत्र,区域,площадь,אזור,område,areal,
argument,argument,argumento,argumento,argumento,argument,argomento,argument,Argument,معامل - جدال,तर्क,争论,аргумент,טיעון,argument,argument,
arrangement,arrangement,acuerdo,arranjo,arranjo,plage,arrangiamento,acord,Anordnung,ترتيب,व्यवस्था,安排,расположение,הסדר,arrangemang,arrangement,
arrow,arrow,flecha,seta,seta,ligne,freccia,fletxa,Pfeil,سهم,तीर,箭头,стрела,חץ,pil,pil,
article,article,artículo,artigo,artigo,article,articolo,article,Artikel,مقال - شيء,लेख,文章,статья,מאמר,artikel,genstand,
ascending,ascending,ascendente,ascendente,ascendente,ascendant,ascendente,ascendent,aufsteigend,تصاعدي,आरोही,上升,по возрастанию,עולה,stigande,opstigende,
aspect,aspect,aspecto,aspecto,aspecto,aspect,aspetto,aspecte,Aspekt,مظهر,पहलू,方面,аспект,אספקט,aspekt,aspekt,
assign,assign,asignar,atribuir,atribuir,affecter,assegnare,assignar,zuordnen,عيِّن,आवंटित,分配,назначать,להקצות,tilldela,tildele,
assignment,assignment,asignación,atribuição,atribuição,affectation,compito,assignació,Zuordnung,مهمة,असाइनमेंट,分配,назначение,הקצאה,uppdrag,opgave,
asynchronous,asynchronous,asíncrona,assíncrono,assíncrono,asynchrone,asincrono,asíncrona,asynchron,غير متزامن,अतुल्यकालिक,异步,асинхронный,אסינכרוני,asynkron,asynkron,
attach,attach,adjuntar,anexar,anexar,attacher,allega,adjuntar,anhängen,ارفق,जोड़ना,连接,прикреплять,לצרף,fästa,vedhæfte,
attachment,attachment,adjunto,anexo,anexo,pièce jointe,allegato,adjunt,Anhang,مرفق,आसक्ति,附件,прикрепление,מצורף,bilaga,vedhæftet fil,
attempt,attempt,intento,tentativas,tentativas,tentative,tentativo,intent,versuchen,محاولة,प्रयास,尝试,попытка,ניסיון,försök,forsøg,
attribute,attribute,atributo,atributo,atributo,attribut,attributo,atribut,Attribut,خاصية,विशेषता,属性,атрибут,תכונה,attribut,attribut,
audio,audio,audio,áudio,áudio,audio,audio,àudio,Audio,صوت,ऑडियो,音频,аудио,אודיו,audio,lyd,
authenticate,authenticate,autenticar,autenticar,autenticar,authentifier,autenticare,autenticar,authentifizieren,وثِّق - صدِّق,प्रमाणित,认证,проверять подлинность,אימות,autentisera,autentificere,
authentication,authentication,autenticación,autenticação,autenticação,authentification,autenticazione,autenticació,Authentifizierung,تحقق,प्रमाणीकरण,认证,аутентификация,אימות,autentisering,Godkendelse,
authorization,authorization,autorización,autorização,autorização,autorisation,autorizzazione,autorització,Autorisierung,صلاحية,प्राधिकरण,授权,авторизация,הרשאה,tillstånd,bemyndigelse,
authorize,authorize,autorizar,autorizar,autorizar,autoriser,autorizzare,autoritzar,autorisieren,اسمح - اعطي صلاحية,को अधिकृत,授权,санкционировать,להסמיך,godkänna,bemyndige,
auto,auto,auto,auto,auto,auto,auto,acte,automatisch,تلقائي,ऑटो,汽车,авто,אוטומטי,bil,auto,
automatic,automatic,automático,automático,automático,automatique,automatico,automàtic,automatisch,تلقائي,स्वचालित,自动,автоматический,אוטומטית,automatisk,automatisk,
availability,availability,disponibilidad,disponibilidade,disponibilidade,disponibilité,disponibilità,disponibilitat,Verfügbarkeit,توفر,उपलब्धता,可用性,доступность,זמינות,tillgänglighet,tilgængelighed,
available,available,disponible,disponível,disponível,disponible,disponibile,disponible,verfügbar,متوفر,उपलब्ध,可得到,имеется в наличии,זמין,tillgängliga,ledig,
average,average,promedio,média,média,moyenne,media,mitjana,Durchschnitt,معدل - متوسط,औसत,平均,средний,ממוצע,medel,gennemsnit,
axis,axis,eje,eixo,eixo,axe,asse,eix,Achse,محور,धुरी,轴,ось,ציר,axel,akse,
backend,back-end,back-end,,backend,Vers la fin.,lato server,back-end,Backend,خلفي - ختامي,बैकएंड,后端,бэкенд,backend,backend,bagende,
backbone,backbone,columna vertebral,espinha dorsal,espinha dorsal,,backbone,columna vertebral,Backbone,أساس - دعامة,रीड की हड्डी,骨干,позвоночник,עמוד שדרה,ryggrad,rygrad,
background,background,fondo,plano de fundo,plano de fundo,arrière plan,sfondo,fons,Hintergrund,خلفية,पृष्ठभूमि,背景,фон,רקע כללי,bakgrund,baggrund,
backup,backup,copia de seguridad,cópia de segurança,cópia de segurança,sauvegarde,backup,còpia de seguretat,Sicherung,نسخة احتياطية,बैकअप,备用,резервное копирование,גיבוי,säkerhetskopiering,backup,
bandwidth,bandwidth,ancho de banda,largura de banda,largura de banda,bande passante,larghezza di banda,ample de banda,Bandbreite,حجم تدفق البيانات,बैंडविड्थ,带宽,пропускная способность,רוחב פס,bandbredd,båndbredde,
banner,banner,banner,faixa,faixa,bannière,banner,banner,Banner,ترويسة,बैनर,旗帜,баннер,באנר,baner,banner,
bar,bar,barra,barra,barra,barre,bar,barra,Leiste,شريط,बार,酒吧,бар,בר,bar,bar,
base,base,base,base,base,base,base,base,Basis,قاعدة,आधार,基础,база,בסיס,bas,basen,
beep,beep,pitido,alarme sonoro,alarme sonoro,signal d'avertissement,bip,xiulet,Signalton,صوت انذار,भोंपू,嘟,гудок,ביפ,pip,bip,
begin,begin,empezar,início,início,commencer,inizio,començar,anfangen,ابدأ,शुरू,开始,начать,התחל,Börja,begynde,
behavior,behavior,comportamiento,comportamento,comportamento,attitude,funzionamento,comportament,Verhalten,سلوك,व्यवहार,行为,поведение,התנהגות,beteende,opførsel,
binary,binary,binario,binário,binário,binaire,binario,binari,binär,ثنائي,बाइनरी,二进制,двоичный,בינארי,binär,binær,
bind,bind,vincular,vincular,vincular,lier,legare,vincular,binden,اربط - وثِّق,बाँध,捆绑,привязывать,לאגד,binda,binde,
bit,bit,bit,bit,bit,bit,bit,bit,Bit,بت,बिट,位,немного,קצת,bit,bit,
bitmap,bitmap,bitmap,bitmap,bitmap,bitmap,bitmap,bitmap,Bitmap,صورة بيت,बिटमैप,位图,битовая карта,מפה סיבית,bitmapp,bitmap,
blank,blank,en blanco,em branco,em branco,vide,vuoto,en blanc,unbeschrieben,فارغ,रिक्त,空白,пустой,ריק,tom,blank,
blink,blink,parpadeo,piscar,piscar,clignote,lampeggiante,parpelleig,blinken,يرمش,झपकी,眨,мерцать,למצמץ,blinka,blinke,
blockunit,block (unit),bloque (unidad),bloco (unidade),bloco (unidade),bloc (unité),blocco,bloc (unitat),Block (Einheit),كتلة ( وحدة ),blockunit,blockunit,blockunit,blockunit,blockunit,blockunit,
blockverb,block (verb),bloquear (verbo),bloquear (verbo),bloquear (verbo),bloc (verbe),bloccare,bloquejar (verb),blockieren (Verb),احجز (فعل),blockverb,blockverb,blockverb,blockverb,blockverb,blockverb,
blog,blog,blog,blog,blog,,blog,bloc,Blog,مدونة,ब्लॉग,博客,блог,בלוג,blog,blog,
blur,blur,borroso,desfocar,desfocar,flou,sfocatura,borrós,Unschärfe,مشوش الرؤية,कलंक,模糊,пятно,טשטוש,fläck,sløring,
board,board,tablero,placa,placa,tableau,tavolo,tauler,Brett,لوح اعلانات,मंडल,板,доска,לוח,styrelse,bestyrelse,
body,body,cuerpo,corpo,corpo,corps,corpo,cos,Rumpf,جسم,तन,身体,тело,גוף,kropp,legeme,
bold,bold,negrita,negrito,negrito,gras,grassetto,negreta,Fettschrift,عريض,साहसिक,胆大,смелый,מודגש,djärv,dristig,
bookmarks,bookmarks,marcadores,favoritos,favoritos,signets,segnalibri,marcadors,Lesezeichen,إشارات مرجعية,बुकमार्क,书签,закладки,סימניות,bokmärken,bogmærker,
boot,boot,inicio,inicialização,inicialização,charger,avvio,inici,hochfahren,إقلاع,बूट,靴,ботинок,אתחול,känga,støvle,
border,border,borde,borda,borda,contour,bordo,vora,Rand,حد,सीमा,边界,граница,גבול,gräns,grænse,
box,box,caja,caixa,caixa,boîte,scatola,caixa,Kasten,صندوق,डिब्बा,框,коробка,קופסא,låda,boks,
bracket,bracket,corchete,colchete,colchete,,parentesi,claudàtor,Klammer,قوس,ब्रैकेट,托架,скобка,סוגר,konsol,beslag,
branch,branch,rama,ramificação,ramificação,branche,ramo,branca,Zweig,فرع,डाली,科,ветка,ענף,gren,afdeling,
break,break,salto,pausa,pausa,,interruzione,salt,Unterbrechung,فاصل,टूटना,打破,перерыв,לשבור,ha sönder,pause,
breakprogram,break (program),salto (programa),breakprogram,breakprogram,,interrompere (programma),salt (programa),Haltepunkt (Programm),انقطاع (برنامج),breakprogram,breakprogram,breakprogram,breakprogram,breakprogram,breakprogram,
breakpoint,break point,punto de salto,breakpoint,breakpoint,,breakpoint,punt de salt,Unterbrechungspunkt,نقطة انقطاع,ब्रेकपाइंट,断点,точка остановки,נקודת שבירה,brytpunkt,breakpoint,
bridgenoun,bridge (noun),puente,bridgenoun,bridgenoun,pont,ponte,pont,Brücke (Nomen),جسر (اسم),bridgenoun,bridgenoun,bridgenoun,bridgenoun,bridgenoun,bridgenoun,
bridgeverb,bridge (verb),enlazar (verbo),bridgeverb,bridgeverb,faire un pont avec,colmare (verbo),enllaçar (verb),überbrücken (Verb),صِل (فعل),bridgeverb,bridgeverb,bridgeverb,bridgeverb,bridgeverb,bridgeverb,
broken,broken,roto,quebrado,quebrado,brisé,guasto,trencat,defekt,مكسور,टूटा हुआ,破碎,сломанный,שבור,bruten,gået i stykker,
browse,browse,examinar,navegar,navegar,naviguer,esplora,examinar,durchsuchen,استعرض,ब्राउज़ करें,浏览,просматривать,לגלוש,bläddra,gennemse,
browser,browser,explorador,navegador,navegador,navigateur,browser,explorador,Browser,مستعرض,ब्राउज़र,浏览器,браузер,דפדפן,browser,browser,
buffer,buffer,buffer,buffer,buffer,tampon,buffer,buffer,Puffer,ذاكرة مؤقتة,बफर,缓冲,буфер,חיץ,buffert,puffer,
bug,bug,error,erro,erro,bogue,bug,error,Programmfehler,خلل,बग,窃听器,ошибка,חרק,insekt,insekt,
build,build,construir,compilar,compilar,contruire,compila,construir,erstellen,بناء,निर्माण,建立,строить,לבנות,bygga,bygge,
builtin,built-in,construcción,embutido,embutido,intégré,integrato,construcció,eingebaut,مضمّن,builtin,内置,встроенная,מובנה,inbyggt,indbygget,
bullet,bullet,viñeta,marcador,marcador,puce,proiettile,vinyeta,Aufzählungspunkt,نقطة,गोली,子弹,пуля,קליע,kula,kugle,
bus,bus,bus,barramento,barramento,,bus,bus,Bus,ناقل,बस,总线,автобус,אוטובוס,buss,bus,
button,button,botón,botão,botão,bouton,pulsante,botó,Schaltfläche,زر,बटन,按键,кнопка,כפתור,knapp,knap,
byte,byte,byte,byte,byte,octet,byte,byte,Byte,بايت,बाइट,字节,байт,בייט,bitgrupp,byte,
cable,cable,cable,cabo,cabo,,cavo,cable,Kabel,كبل,केबल,电缆,кабель,כבל,kabel-,kabel,
cache,cache,caché,cache,cache,cache,cache,memòria cau,Zwischenspeicher,محفوظات,कैश,高速缓存,кэш,מטמון,cache,cache,
calculate,calculate,calcular,calcular,calcular,calculer,calcola,calcular,rechnen,احسب,गणना,计算,подсчитывать,לחשב,Beräkna,Beregn,
calculator,calculator,calculadora,calculadora,calculadora,calculatrice,calcolatore,calculadora,Taschenrechner,آلة حاسبة,कैलकुलेटर,计算器,калькулятор,מחשבון,kalkylator,lommeregner,
calendar,calendar,calendario,calendário,calendário,calendrier,calendario,calendari,Kalender,تقويم,कैलेंडर,日历,календарь,לוח שנה,kalender,kalender,
call,call,llamada,chamar,chamar,appel,chiamata,anomenada,aufrufen,نداء,कॉल,呼叫,вызов,שיחה,ring upp,opkald,
camera,camera,cámara,câmera,câmera,appareil photo,fotocamera,càmera,Kamera,آلة تصوير,कैमरा,相机,камера,מצלמה,kamera,kamera,
cancel,cancel,cancelar,cancelar,cancelar,annuler,annulla,cancel·lar,abbrechen,إلغاء,रद्द करना,取消,отменить,לבטל,annullera,afbestille,
capability,capability,habilidad,funcionalidade,funcionalidade,capabilité,capacità,habilitat,Fähigkeit,قدرة,क्षमता,能力,возможность,יכולת,förmåga,evne,
capacity,capacity,capacidad,capacidade,capacidade,capacité,capacità,capacitat,Kapazität,سعة,क्षमता,容量,вместимость,קיבולת,kapacitet,kapacitet,
caption,caption,leyenda,captura,captura,légende,didascalia,llegenda,Bildunterschrift,تسمية - عنوان فرعي,शीर्षक,字幕,подпись,כיתוב,rubrik,billedtekst,
capture,capture,captura,captura,captura,capture,cattura,captura,erfassen,التقط,कब्जा,捕获,захватить,לכיד,fånga,fange,
card,card,tarjeta,cartão,cartão,carte,carta,targeta,Karte,بطاقة,कार्ड,卡,карта,כרטיס,kort,kort,
case,case,caso,maiúsculas e minúsculas,maiúsculas e minúsculas,case,caso,cas,Fall,حالة - حاوية,मामला,案件,дело,מקרה,fall,sag,
casefont,case (font),caso (tipo de letra),maiúsculas e minúsculas (fonte),maiúsculas e minúsculas (fonte),case (police),carattere,cas (tipus de lletra),Schreibung (Schrift),حالة (خط),casefont,casefont,casefont,casefont,casefont,casefont,
catalog,catalog,catálogo,catálogo,catálogo,catalogue,catalogo,catàleg,Katalog,سِجل,सूची,目录,каталог,קטלוג,katalog,katalog,
category,category,categoría,categoria,categoria,catégorie,categoria,categoria,Kategorie,فئة,वर्ग,类别,категория,קטגוריה,kategori,kategori,
cell,cell,celda,célula,célula,cellule,cella,cel·la,Zelle,خلية,सेल,细胞,клетка,תא,cell,celle,
certificate,certificate,certificado,certificado,certificado,certificat,certificato,certificat,Zertifikat,شهادة,प्रमाणपत्र,证书,сертификат,תעודה,certifikat,certifikat,
certify,certify,certificar,certificar,certificar,certifier,certificare,certificar,bescheinigen,ُيشهِد,प्रमाणित,证明,удостоверять,להצהיר,intyga,attestere,
change,change,cambiar,mudança,mudança,changer,cambiare,canviar,wechseln,غيِّر,परिवर्तन,更改,менять,שינוי,Byta,lave om,
channel,channel,canal,canal,canal,canal,canale,canal,Kanal,قناة,चैनल,渠道,канал,ערוץ,kanalisera,kanal,
character,character,carácter,caracter,caracter,caractère,personaggio,caràcter,Zeichen,محرف,चरित्र,字符,персонаж,אופי,karaktär,Karakter,
charset,charset,juego de caracteres,,,ensemble de caractères,set di caratteri,joc de caràcters,Zeichensatz,طقم محارف,चारसेट,字符集,кодировок,charset,teckenuppsättning,charset,
chart,chart,gráficodiagrama,gráfico,gráfico,,grafico,gráficodiagrama,Diagramm,رسم بياني,चार्ट,图表,диаграмма,תרשים,Diagram,diagram,
chat,chat,chat,conversar,conversar,clavarder,conversazione,xat,plaudern,دردشة,बातचीत,聊,чат,לפטפט,chatt,snak,
check,check,comprobar,marcar,marcar,cocher,controllo,comprovar,überprüfen,تأكُدْ,चेक,校验,проверять,לבדוק,kontrollera,kontrollere,
checkbox,check box,casilla de comprobación,caixa de seleção,caixa de seleção,boîte à cocher,casella di spunta,casella de comprovació,Kontrollkästchen,صندوق تأشير,चेकबॉक्स,复选框,флажок,תיבה,checkbox,afkrydsningsfeltet,
child,child,secundario,filho,filho,enfant,bambino,secundari,Kind,فرعي,बच्चा,儿童,ребенок,ילד,barn,barn,
choice,choice,elección,escolha,escolha,choix,scelta,elecció,Wahl,خيار,पसंद,选择,выбор,בחירה,val,valg,
choose,choose,elegir,escolher,escolher,choisir,scegliere,triar,auswählen,اختر,चुनें,选择,выбирать,בחר,välja,vælge,
class,class,clase,classe,classe,classe,classe,classe,Klasse,فئة,कक्षा,类,учебный класс,מעמד,klass,klasse,
classic,classic,clásico,clássico,clássico,classique,classico,clàssic,klassisch,تقليدي,क्लासिक,经典,классический,קלאסי,klassisk,klassisk,
classify,classify,clasificar,classificar,classificar,classifier,classificare,classificar,klassifizieren,صَنِّف,वर्गीकृत,分类,классифицировать,לסווג,klassificera,klassificere,
clean,clean,limpiar,limpo,limpo,propre,pulito,netejar,bereinigen,نظف,स्वच्छ,清洁,чистый,נקי,rena,ren,
clear,clear,borrar,limpar,limpar,effacer,pulire,esborrar,löschen,امسح,स्पष्ट,明确,Чисто,ברור,klar,klar,
clicknoun,click (noun),clic,clique (substantivo),clique (substantivo),clic,click,clic,Klick (Nomen),نقر (اسم),clicknoun,clicknoun,clicknoun,clicknoun,clicknoun,clicknoun,
clickverb,click (verb),hacer clic,clicar (verbo),clicar (verbo),cliquer,cliccare,fer clic,anklicken (Verb),انقر (فعل),clickverb,clickverb,clickverb,clickverb,clickverb,clickverb,
client,client,cliente,cliente,cliente,client,client,client,Client,عميل,ग्राहक,客户,клиент,הלקוח,klient,klient,
clipart,clip art,clip art,clip art,clip art,,clipart,clip art,Clipart,قصاصة,क्लिप आर्ट,剪贴画,клипарт,אוסף תמונות,ClipArt,multimedieklip,
clipboard,clip board,portapapeles,de áudio,de áudio,,appunti,porta-retalls,Zwischenablage,حافظة,क्लिपबोर्ड,剪贴板,буфер обмена,לוח,Urklipp,clipboard,
clock,clock,reloj,relógio,relógio,,orologio,rellotge,Uhr,ساعة,घड़ी,时钟,Часы,שעון,klocka,ur,
close,close,cerrar,fechar,fechar,fermer,chiudere,tancar,schließen,أغلق,बंद करे,关,близко,קרוב,stänga,tæt,
codeprogram,code (program),código (programa),código (programa),código (programa),code (programme),codice (programma),codi (programa),Code (Programm),شفرة (برنامج),codeprogram,codeprogram,codeprogram,codeprogram,codeprogram,codeprogram,
codesymbol,code (symbol),código (símbolo),código (símbolo),código (símbolo),code (symbole),codice (simbolo),codi (símbol),Code (Symbol),شفرة (رمز),codesymbol,codesymbol,codesymbol,codesymbol,codesymbol,codesymbol,
codec,codec,códec,codec,codec,codec,codec,còdec,Codec,مرماز - برنامج لفك الشفرات,कोडेक,编解码器,кодер-декодер,codec,codec,codec,
collapse,collapse,caer,recolher,recolher,réduire,collassare,caure,verbergen,طي,गिरावट,坍方,коллапс,קריסה,kollaps,falde sammen,
collect,collect,recopilar,,,collecter,raccogliere,recopilar,sammeln,التقط,इकट्ठा,搜集,собирать,לאסוף,samla,indsamle,
column,column,columna,coluna,coluna,colonne,colonna,columna,Spalte,عمود,स्तंभ,柱,колонка,טור,kolumn,kolonne,
combination,combination,combinación,combinação,combinação,combinaison,combinazione,combinació,Kombination,تجميع,मेल,组合,сочетание,שילוב,kombination,kombination,
comma,comma,coma,vírgula,vírgula,virgule,virgola,coma,Komma,فاصلة,अल्पविराम,逗号,запятая,פסיק,kommatecken,komma,
command,command,comando,comando,comando,commande,comando,comandament,Befehl,أمر,आदेश,命令,команда,פקודה,kommando,kommando,
comment,comment,comentar,comentário,comentário,commentaire,commento,comentar,Kommentar,تعليق,टिप्पणी,评论,комментарий,תגובה,kommentar,kommentar,
common,common,común,comum,comum,commun,comune,comuna,üblich,شائع,सामान्य,共同,общий,המשותף,allmänning,almindelige,
