id,en,es,pt,de,fr,it,ar,hi,pt_BR,zh_CN,ru
casefont,case (font),caso (tipo de letra),maiúsculas e minúsculas (fonte),Schreibung (Schrift),case (police),carattere,حالة (خط),,maiúsculas e minúsculas (fonte),,casefont
catalog,catalog,catálogo,catálogo,Katalog,catalogue,catalogo,سِجل,,catálogo,,каталог
category,category,categoría,categoria,Kategorie,catégorie,categoria,فئة,,categoria,,категория
cell,cell,celda,célula,Zelle,cellule,cella,خلية,,célula,,клетка
certificate,certificate,certificado,certificado,Zertifikat,certificat,certificato,شهادة,,certificado,,сертификат
certify,certify,certificar,certificar,bescheinigen,certifier,certificare,ُيشهِد,,certificar,,удостоверять
change,change,cambiar,mudança,wechseln,changer,cambiare,غيِّر,,mudança,,менять
channel,channel,canal,canal,Kanal,canal,canale,قناة,,canal,,канал
character,character,carácter,caracter,Zeichen,caractère,personaggio,محرف,,caracter,,персонаж
charset,charset,juego de caracteres,,Zeichensatz,ensemble de caractères,set di caratteri,طقم محارف,,,,кодировок
chart,chart,gráficodiagrama,gráfico,Diagramm,,grafico,رسم بياني,,gráfico,,диаграмма
chat,chat,chat,conversar,plaudern,clavarder,conversazione,دردشة,,conversar,,чат
check,check,comprobar,marcar,überprüfen,cocher,controllo,تأكُدْ,,marcar,,проверять
checkbox,check box,casilla de comprobación,caixa de seleção,Kontrollkästchen,boîte à cocher,casella di spunta,صندوق تأشير,,caixa de seleção,,флажок
child,child,secundario,filho,Kind,enfant,bambino,فرعي,,filho,,ребенок
choice,choice,elección,escolha,Wahl,choix,scelta,خيار,,escolha,,выбор
choose,choose,elegir,escolher,auswählen,choisir,scegliere,اختر,,escolher,,выбирать
class,class,clase,classe,Klasse,classe,classe,فئة,,classe,,учебный класс
classic,classic,clásico,clássico,klassisch,classique,classico,تقليدي,,clássico,,классический
classify,classify,clasificar,,klassifizieren,classifier,classificare,صَنِّف,,,,классифицировать
clean,clean,limpiar,limpo,bereinigen,propre,pulito,نظف,,limpo,,чистый
clear,clear,borrar,limpar,löschen,effacer,pulire,امسح,,limpar,,Чисто
clicknoun,click (noun),clic,clique (substantivo),Klick (Nomen),clic,click,نقر (اسم),,clique (substantivo),,clicknoun
clickverb,click (verb),hacer clic,clicar (verbo),anklicken (Verb),cliquer,cliccare,انقر (فعل),,clicar (verbo),,clickverb
client,client,cliente,cliente,Client,client,client,عميل,,cliente,,клиент
clipart,clip art,clip art,clip art,Clipart,,clipart,قصاصة,,clip art,,клипарт
clipboard,clip board,portapapeles,de áudio,Zwischenablage,,appunti,حافظة,,de áudio,,буфер обмена
clock,clock,reloj,relógio,Uhr,,orologio,ساعة,,relógio,,Часы
close,close,cerrar,fechar,schließen,fermer,chiudere,أغلق,,fechar,,близко
codeprogram,code (program),código (programa),código (programa),Code (Programm),code (programme),codice (programma),شفرة (برنامج),,código (programa),,codeprogram
codesymbol,code (symbol),código (símbolo),código (símbolo),Code (Symbol),code (symbole),codice (simbolo),شفرة (رمز),,código (símbolo),,codesymbol
codec,codec,códec,codec,Codec,codec,codec,مرماز - برنامج لفك الشفرات,,codec,,кодер-декодер
collapse,collapse,caer,recolher,verbergen,réduire,collassare,طي,,recolher,,коллапс
collect,collect,recopilar,,sammeln,collecter,raccogliere,التقط,,,,собирать
column,column,columna,coluna,Spalte,colonne,colonna,عمود,,coluna,,колонка
combination,combination,combinación,combinação,Kombination,combinaison,combinazione,تجميع,,combinação,,сочетание
comma,comma,coma,vírgula,Komma,virgule,virgola,فاصلة,,vírgula,,запятая
command,command,comando,comando,Befehl,commande,comando,أمر,,comando,,команда
comment,comment,comentar,comentário,Kommentar,commentaire,commento,تعليق,,comentário,,комментарий
common,common,común,comum,üblich,commun,comune,شائع,,comum,,общий
communication,communication,comunicación,comunicação,Kommunikation,la communication,comunicazione,تواصل,,comunicação,,связь
compact,compact,compacto,compacto,kompakt,compact,compatto,مُدْمج,,compacto,,компактный
compare,compare,comparar,comparar,vergleichen,comparer,confronta,قارن,,comparar,,сравнить
compatibility,compatibility,compatibilidad,compatibilidade,Kompatibilität,compatibilité,compatibilità,توافق,,compatibilidade,,совместимость
compatible,compatible,compatible,compatível,kompatibel,compatible,compatibile,متوافق,,compatível,,совместимый
compilation,compilation,compilación,compilação,Kompilierung,compilation,compilazione,تصريف,,compilação,,сборник
compile,compile,compilar,compilar,kompilieren,compiler,compila,صرِّف,,compilar,,компилировать
compiler,compiler,compilador,compilador,Compiler,compilateur,compilatore,مُصرِّف,,compilador,,компилятор
complete,complete,completado,completo,vollständig,Achevée,completo,تام - كامل,,completo,,полный
component,component,componente,componente,Komponente,composant,componente,مكون,,componente,,составная часть
compose,compose,componer,escrever,zusammenstellen,composer,comporre,ركِّب,,escrever,,составить
composition,composition,composición,composição,Komposition,composition,composizione,تركيب,,composição,,состав
compress,compress,comprimir,comprimir,komprimieren,compresse,comprimi,اضغط,,comprimir,,компресс
compression,compression,compresión,compressão,Kompression,compression,compressione,ضغط,,compressão,,компрессия
computer,computer,ordenador,computador,Computer,ordinateur,computer,حاسوب,,computador,,компьютер
computing,computing,informática,,Elektronische Datenverarbeitung,l'informatique,elaborazione,حوسبة,,,,вычисления
concatenate,concatenate,concatenar,concatenar,verketten,enchaîner,concatenazione,لمّ,,concatenar,,сцеплять
concurrent,concurrent,simultáneo,,parallel,parallèle,concorrente,مترافق,,,,параллельный
condense,condense,condensar,,komprimieren,condenser,condensare,كثِّف,,,,конденсироваться
condition,condition,condición,condição,Bedingung,état,condizione,شرط,,condição,,состояние
configuration,configuration,configuración,configuração,Konfiguration,configuration,configurazione,تشكيل - تعريف,,configuração,,конфигурация
configure,configure,configurar,configurar,konfigurieren,configurer,configurare,اضبط,,configurar,,конфигурировать
confirm,confirm,confirmar,confirmar,bestätigen,confirmer,confermare,أكد,,confirmar,,подтвердить
confirmation,confirmation,confirmación,confirmação,Bestätigung,confirmation,conferma,تأكيد,,confirmação,,подтверждение
conflict,conflict,conflicto,conflito,Konflikt,conflit,conflitto,تضارب,,conflito,,конфликт
connect,connect,conectar,conectar,verbinden,connecter,connetti,قم بالاتصال,,conectar,,соединять
connection,connection,conexión,conexão,Verbindung,connexion,connessione,إتصال,,conexão,,соединение
console,console,consola,console,Konsole,console,console,جهاز,,console,,приставка
contactnoun,contact (noun),contacto,contato (substantivo),Kontakt (Nomen),contact (nom),contatto,جهة اتصال (اسم),,contato (substantivo),,contactnoun
contactverb,contact (verb),contactar,contactar (verbo),kontaktieren (Verb),contacter (verbe),contattare (verbo),قم بالاتصال (فعل),,contactar (verbo),,contactverb
content,content,contenido,conteúdo,Inhalt,contenu,contenuto,محتوى,,conteúdo,,содержание
context,context,contexto,contexto,Kontext,contexte,contesto,سياق,,contexto,,контекст
continue,continue,continuar,continuar,fortsetzen,continuer,continua,تابع,,continuar,,Продолжить
contrast,contrast,contrastar,contraste,Kontrast,contraste,contrasto,تباين,,contraste,,контрастировать
contributor,contributor,colaborador,colaborador,Mitwirkender,donateur,collaboratore,مساهِم - مشارك,,colaborador,,участник
control,control,control,controle,kontrollieren,contrôler,controllo,تحكم,,controle,,контроль
conversion,conversion,conversión,conversão,Umwandlung,conversion,conversione,تحويل,,conversão,,преобразование
convert,convert,convertir,converter,umwandeln,convertir,converti,حول,,converter,,перерабатывать
cookie,cookie,cookie,cookie,Cookie,cookie,cookie,ملفات تعريف الارتباط,,cookie,,печенье
cooperative,cooperative,cooperativo,,kooperativ,coopératif,cooperativo,تعاوني,,,,кооператив
coordinate,coordinate,coordinar,coordenada,koordinieren,coordonner,coordinata,نسق,,coordenada,,координировать
copynoun,copy,copia,cópia,Kopie,copie (nom),copia,نسخة (اسم),,cópia (substantivo),,copynoun
copyverb,copy,copiar,copiar,kopieren,copier (verbe),copiare,انسخ (فعل),,copiar (verbo),,copyverb
copyPaste,copy and paste,copiar y pegar,copiar e colar,Kopieren und Einfügen,copier coller,,,,,,копировать вставить
copyleft,copy left,"derecho de copia, copyleft",,Recht zur Weitergabe,copyleft,copyleft,نسخ إلى اليسار,,,,копилефт
copyright,copy right,"derecho de autor, copyright",,Urheberrecht,droits d'auteur,diritto d'autore,نسخ إلى اليمين,,,,авторское право
correct,correct,corregir,corrigir,korrigieren,correct,corretto,صحح,,corrigir,,правильный
correspondence,correspondence,correspondencia,correspondência,Schriftverkehr,correspondance,carteggio,تواؤم,,correspondência,,переписка
correspondent,correspondent,correspondiente,,Gegenstelle,correspondant,inviato,موائم,,,,корреспондент
corrupt,corrupt,corrupto,,beschädigt,corrompu,corrotto,فاسد,,,,продажный
count,count,contar,contar,zählen,compter,conto,عدد,,contar,,подсчитывать
countable,countable,contable,,abzählbar,dénombrable,numerabile,قابل للعدد,,,,счетное
crash,crash,caída del sistema,pane,Absturz,crash,crash,إنهيار,,pane,,авария
create,create,crear,criar,erstellen,créer,crea,أنشئ,,criar,,Создайте
creation,creation,creación,criação,Erstellung,création,creazione,إنشاء,,criação,,создание
criteria,criteria,criterio,critérios,Kriterium,critères,criteri,معيار,,critérios,,критерии
crop,crop,recortar,cortar,freistellen,surgir,raccolto,يُشذِّب,,cortar,,культура
crossplatform,cross-platform,multiplataforma,,plattformübergreifend,multiplate,multi-piattaforma,متعدد المنصات,,,,кроссплатформенная
crypt,crypt,encriptar,,verschlüsseln,crypte,cripta,شفِّر,,,,крипта
cryptology,cryptology,criptología,,Kryptologie,cryptologie,crittografia,علم التشفير,,,,криптология
current,current,actual,atual,aktuell,actuel,attuale,حالي,,atual,,ток
cursor,cursor,cursor,cursor,Mauszeiger,le curseur,cursore,مؤشر,,cursor,,курсор
curve,curve,curva,curva,Kurve,courbe,curva,منحنى,,curva,,кривая
custom,custom,a medida,personalizado,angepasst,Douane,personalizzato,مخصص,,personalizado,,обычай
customization,customization,customización,customização,Anpassung,personnalisation,personalizzazione,تخصيص,,customização,,настройка
customize,customize,personalizar,personalizar,anpassen,Personnaliser,personalizzare,خصص,,personalizar,,настроить
cut,cut,cortar,recortar,ausschneiden,couper,taglia,قص,,recortar,,резать
cycle,cycle,ciclo,ciclo,Zyklus,cycle,ciclo,دورة,,ciclo,,цикл
daemon,daemon,demonio,daemon,Hintergrund-Dienst,démon,demone,عفريت,,daemon,,демон
damage,damage,daño,,Schaden,dommage,danno,ضرر,,,,повреждение
data,data,datos,dados,Daten,Les données,dati,بيانات,,dados,,данные
dataUpload,data upload,carga de datos,Carregue dados,Daten hochladen,dataUpload,,,,,,dataUpload
database,database,base de datos,base de dados,Datenbank,base de données,database,قاعدة بيانات,,base de dados,,база данных
debug,debug,quitar el error,depurar,Fehler beseitigen,déboguer,debug,أزل الخلل,,depurar,,отлаживать
debugger,debugger,que quita el error,depurador,Debugger,débogueur,debugger,منقح,,depurador,,отладчик
decimal,decimal,decimal,decimal,dezimal,décimal,decimale,عشري,,decimal,,десятичный
decode,decode,descifrar,,dekodieren,décoder,decodifica,فك الترميز,,,,раскодировать
decompress,decompress,descomprimir,descomprimir,dekomprimieren,décompresser,decompresso,فك الضغط,,descomprimir,,разжимать
decrease,decrease,disminuir,diminuir,reduzieren,diminution,diminuzione,قلل,,diminuir,,снижение
decrypt,decrypt,descifrar,descriptografar,entschlüsseln,déchiffrer,decodificare,فك التشفير,,descriptografar,,расшифровывать
decryption,decryption,desciframiento,descriptografia,Entschlüsselung,déchiffrement,decifrazione,فك تشفير,,descriptografia,,дешифрование
default,default,predeterminado,padrão,Standardeinstellung,par défaut,predefinito,افتراضي,,padrão,,дефолт
defect,defect,defecto,,Defekt,défaut,sconfiggi,عيب,,,,дефект
define,define,definir,,definieren,définir,definisci,عرف - حدد,,,,определять
definition,definition,definición,definição,Definition,définition,definizione,تعريف,,definição,,определение
degree,degree,nivel,grau,Grad,degré,grado,درجة,,grau,,степень
delay,delay,retrasar,atraso,Verzögerung,retard,ritardo,تأخير,,atraso,,задержка
delete,delete,borrar,excluir,löschen,supprimer,elimina,احذف,,excluir,,удалять
deletion,deletion,supresión,exclusão,Löschung,suppression,eliminazione,حذف,,exclusão,,удаление
delimiter,delimiter,delimitador,delimitador,Trennzeichen,séparateur,separatore,مُحِد,,delimitador,,ограничитель
demo,demo,demo,demonstração,Demo,démo,dimostrazione,عرض,,demonstração,,демонстрация
deny,deny,negar,,verweigern,refuser,nega,رفض - إنكار,,,,Отрицать
dependence,dependence,dependencia,dependência,Abhängigkeit,dépendance,dipendenza,تبعية,,dependência,,зависимость
dependency,dependency,dependencia,dependência,Abhängigkeit,dépendance,dipendenza,إعتمادية,,dependência,,зависимость
depth,depth,profundidad,profundidade,Tiefe,profondeur,profondità,عمق,,profundidade,,глубина
derived,derived,obtenido,derivado,abgeleitet,dérivé,derivato,مشتق,,derivado,,полученный
descending,descending,descendente,decrescente,absteigend,descendant,discendente,تنازلي,,decrescente,,нисходящий
description,description,descripción,descrição,Beschreibung,la description,descrizione,وصف,,descrição,,описание
deselect,deselect,deseleccionar,,abwählen,désélectionner,deselezionare,أزل الانتقاء,,,,отменить
design,design,diseño,design,Design,conception,progettazione,تصميم,,design,,дизайн
desktop,desktop,escritorio,área de trabalho,Desktop,bureau,desktop,سطح المكتب,,área de trabalho,,рабочий стол
destination,destination,destino,destinação,Ziel,destination,destinazione,هدف,,destinação,,место назначения
destroy,destroy,destruir,destrói,zerstören,détruire,distruggere,دمِّر,,destrói,,уничтожить
detach,detach,despegar,desanexar,lösen,détacher,staccare,إنزع,,desanexar,,отрывать
